station_id,RMSE,MAE,Bias,NRMSE
SURI(CWC),5.834427,2.973832,0.29137298,1.5312336284569608
TALDANGRA,6.2528753,3.0630102,0.24624166,1.624745285979863
TAMLUK,7.480478,3.3952987,-0.16508117,1.6943860757184137
TANGLU,12.81825,6.296435,0.5262167,1.3309578005337528
TANTLOI,5.332855,2.8595595,0.46973607,1.478179898455579
TAPAN,7.5399914,3.7064133,0.19394214,1.588246374551217
TARAKESHWAR,6.7448845,3.2412493,0.0018790188,1.6066093086838265
TEESTA BAZAR,12.503531,6.181238,0.0032857363,1.3128588457737989
TENTULIA,6.812706,3.2377553,0.052175123,1.6505545994714121
TILPARA BARRAGE,5.834427,2.973832,0.29137403,1.5312336284569608
TOOFANGANJ,13.300498,6.746709,0.29695046,1.3571509831172877
TUFANGANJ,13.353338,6.7569227,0.26953357,1.3625426740082807
TUSUMA(CWC),6.1898084,3.0531418,0.35016328,1.6463912908659235
ULUBERIA,7.101904,3.3561587,-0.15820472,1.609662950567765
VISHNUPUR,6.5133877,3.0896792,0.19887723,1.66817884351129
